Player,PTS,Number of Matches,Kills,Assists,KDA,KD,KAS,Knocks,Kills/Knocks,Damage Dealt,AR Damage,DMR Damage,SR Damage,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Damage Taken (Zone),Damage Taken (Enemy),Damage Dealt/Damage Taken,Revives,Died 1st,Died 2nd,Died 3rd,Died 4th,Knocked,Revived,Headshot Kills,Longest Kill (m),Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Time Survived,Avg Time Survived,Heals,Health Recovered,Boosts,Vehicle Destroys
DAY_TiGGER,93.07,12,25,14,3.5,2.3,0.8,22,1.1,3806.8,1830.3,1140.9,79.3,317.2,2740.4,228.4,910.6,1771.1,2.1,0,2,5,2,2,9,0,3,394.7,6,3,47,8,26,615.2,12,3,5,0,87,24,29,40,9,6,0,15.5,34.4,16371,1364,28,1640.4,58,4
DAY_Flash,81.19,12,23,10,3,2.1,0.8,20,1.1,3618.8,924.8,2208.3,0,301.6,3429.5,285.8,1137.1,2263.2,1.6,1,4,2,2,3,11,3,4,372.3,3,1,47,10,21,433.7,11,1,4,52,62,19,22,25,5,6,0,15.3,31.7,15618,1301,42,2287.7,32,2
TWIS_Lu,80.18,12,20,10,2.5,1.7,0.8,21,1,4017.8,1065.2,2517.9,0,334.8,3921.6,326.8,921.4,2927.5,1.4,6,1,2,3,6,9,3,5,376.1,3,2,44,5,24,334.7,10,0,2,0,88,36,45,44,23,9,0.1,15.4,39.7,18371,1530,50,2691.1,42,0
TE_Clories,92.67,12,23,6,2.6,2.1,0.8,21,1.1,4166.6,1338.7,2174.3,0,347.2,3123.2,260.3,716,2359.9,1.8,8,3,2,1,5,9,3,6,258.3,1,1,48,3,25,408,4,0,2,0,43,6,21,28,2,9,0,12.7,35,16462,1371,31,1993.2,49,5
BB_Bestoloch,81.66,12,19,11,3,1.9,0.8,13,1.5,3366.1,1010.3,2280.8,0,280.5,3530.6,294.2,1915,1610.4,2.1,4,1,2,4,3,7,0,4,326.4,3,1,58,9,15,75,8,0,1,0,58,6,16,29,9,0,0,13.6,40.1,17138,1428,38,2530.6,39,3
DAY_Belmoth,86.2,12,24,9,3,2.2,0.7,22,1.1,3319.7,1314.6,1249.1,0,276.6,2759.7,230,449.2,2178.8,1.5,2,4,1,3,3,9,1,6,253.4,0,1,49,2,32,680.1,11,0,6,0,62,4,42,51,12,10,0,17.6,33.9,16187,1348,30,1649.7,52,2
DAY_Thanad0l,73.49,12,17,9,2.4,1.5,0.8,17,1,3449.4,1271.5,1857.4,0,287.4,3342.1,278.5,1520,1787.4,1.9,3,1,3,4,3,10,2,5,358.4,4,1,40,5,19,214.1,7,1,3,56,47,11,22,25,6,6,0,19.3,41.6,16727,1393,41,2220.1,60,0
TKL_Cold119,73.32,12,19,7,2.4,1.7,0.8,17,1.1,3331.7,1795.2,885.5,100,277.6,3499.1,291.6,355,3125,1.1,5,4,1,4,2,15,6,7,253.6,2,1,38,2,27,360.2,9,0,6,114,59,1,40,29,1,6,0,14.7,31.3,14700,1225,41,2339.1,59,3
TKL_Spaceman,82.74,12,22,9,2.8,2,0.7,20,1.1,3373.9,1706.7,1191.3,0,281.2,3315.8,276.3,345.4,2903.3,1.2,6,2,3,3,3,12,4,7,359.2,1,1,52,10,24,312.5,16,2,9,0,82,20,32,40,6,14,0,12.8,29.1,16457,1371,36,2175.8,81,2
FLC_TGLTN,81.17,12,19,6,2.5,1.9,0.8,20,0.9,3316.6,1628.3,1148.6,0,276.4,2537.7,211.5,195.2,2263.4,1.5,3,7,3,0,0,16,6,6,284.2,0,2,37,11,13,271.6,7,1,1,0,57,4,23,26,7,2,0,9.3,47.6,15032,1252,22,1477.7,41,1
FLC_Kickstart,71.21,12,16,6,2,1.5,0.8,17,0.9,3421,921.7,2128.8,0,285.1,2894.5,241.2,263,2576.8,1.3,5,2,0,6,3,12,3,6,318.1,2,2,44,1,26,356.1,4,1,3,0,50,8,28,24,7,4,0,10.8,46.5,16811,1400,34,1662.2,32,5
TE_TanVuu,65.02,12,17,5,1.8,1.4,0.8,16,1.1,3402.1,970.3,1628.6,505.1,283.5,3327.8,277.3,205,3080.8,1.1,1,3,2,5,2,18,8,4,368.5,5,1,44,16,16,298.2,18,2,5,0,61,16,23,34,3,5,0,13.3,38.3,15622,1301,41,2047.8,75,3
BGP_2heart,59.07,12,12,12,2,1,0.8,14,0.9,3506.7,448.2,2785.5,0,292.2,2999.5,250,533.4,2349.3,1.5,1,1,2,4,5,9,2,3,329.3,1,2,27,0,17,273,4,0,0,0,50,6,22,27,5,5,0,13.4,62,16305,1358,19,1779,59,1
BB_Molodoct,78.57,12,16,12,2.8,1.6,0.6,16,1,3656.5,671.1,2587.3,0,304.7,2260.1,188.3,221,1989.6,1.8,1,1,4,3,2,10,2,4,566.1,3,3,28,2,19,295.3,6,0,2,0,38,2,19,12,0,3,0,13,36.6,16284,1357,22,1216.9,27,2
TWIS_xmpl,61.5,12,11,5,1.3,0.9,0.8,11,1,3950.3,762.3,3072.4,0,329.2,3659.3,304.9,237.7,3380.1,1.2,2,1,3,5,3,14,5,1,583,1,4,32,3,20,115.5,6,0,1,0,49,6,38,29,6,7,0.1,16.1,34.6,18425,1535,51,2409.3,50,2
FOR_KISS,69.45,12,18,9,2.7,1.8,0.7,13,1.4,2644.9,1406.3,850.9,0,220.4,2799.2,233.3,452,2318.4,1.1,3,3,2,2,3,10,2,5,187.4,1,1,48,12,24,387.6,5,1,3,0,67,6,39,35,5,12,0,10.7,71.7,15609,1300,26,1672.1,55,0
PeRo_Aixleft,64.86,12,17,9,2.4,1.5,0.8,18,0.9,2586.3,962.4,1164.5,62.1,215.5,2864.9,238.7,542.3,2142.3,1.2,1,3,2,5,1,12,2,3,205.4,4,5,43,1,24,407.3,6,1,0,0,42,7,14,24,13,2,0,16.6,39.2,15587,1298,38,1744.9,46,4
FLC_Shrimzy,66.36,12,15,8,2.3,1.5,0.7,16,0.9,2935.5,1121.8,1552.1,0,244.6,2199.5,183.3,207,1903.3,1.5,3,2,4,1,3,10,3,5,308.9,2,3,31,2,17,157.5,5,0,3,0,47,5,20,32,7,8,0,11.7,66,14474,1206,25,1169.5,36,1
BB_f1lfirst,68.97,12,17,6,2.1,1.5,0.5,20,0.8,3296.6,482.8,2349.1,0,274.7,2272.6,189.4,20,2241,1.5,1,5,1,2,2,10,2,3,407.9,3,1,46,5,20,74.1,11,2,4,0,47,5,11,24,7,2,0,13.8,33.4,15823,1318,21,1192.9,50,5
BB_ADOUZ1E,62.71,12,12,8,2,1.2,0.8,9,1.3,2871.4,930.3,1854.9,0,239.3,2380.3,198.4,226.4,2125.4,1.4,0,3,3,1,3,10,2,0,324,3,0,44,7,15,66.1,9,0,6,0,45,9,20,20,0,4,0,11.9,34.5,16296,1358,21,1260.3,69,0
GEN_BeaN,46.89,12,8,7,1.3,0.7,0.8,9,0.9,3389.2,1395.7,1812.7,0,282.4,3215.4,267.9,995.6,2203.5,1.5,1,1,4,3,4,9,1,0,232.4,3,0,35,3,14,169.8,3,0,1,0,47,10,25,24,4,3,0,16,49.1,14387,1198,40,2004.3,39,2
